average_elo,encoded_pgn
1735.0,878 995 368 1346 722 1502 1306 240 1910 757 1857 1320 1411 922 817 395 1945 960 1909 1873 35 49 1361 1572 1259 1614 528 412 1420 1888 2061 1216 332 1952 302 1588 1850 1282 1215 1205 359 1676 1807 1108 16 1953 1739 1942 885 1265 1027 679 1280 1904 797 509 818 55 124 765 247 1867 104 1225 543 1587 360 0 -1 -1
1729.5,878 1502 368 234 1614 412 998 722 1857 1230 1346 960 1945 33 1909 1247 1411 1873 35 1845 369 506 1725 2047 2052 1472 615 350 2014 302 1588 592 366 242 242 1723 817 388 1420 1888 2061 1475 851 1963 1501 894 1520 818 1664 527 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1710.0,878 995 368 1346 722 757 1306 787 787 1801 1857 1863 1036 579 998 836 35 464 1805 1462 817 817 1411 302 530 2049 1725 907 171 1176 308 357 1817 560 455 421 1442 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1743.0,878 1346 42 1959 998 1045 1857 995 368 1502 1411 506 817 481 1200 240 1614 1887 1112 506 146 960 246 246 1657 817 615 917 992 1692 2063 1313 1535 551 544 111 620 1239 359 302 859 859 1848 421 544 1836 366 1737 350 2014 374 1320 1517 922 1138 421 646 1909 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1744.5,878 722 368 1856 1306 334 1572 1801 1614 1265 1857 234 817 1230 1945 33 1909 1247 998 579 481 136 42 885 801 952 1002 2015 927 1071 1617 947 1249 1053 35 728 1105 710 710 1710 1031 1494 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1741.5,878 757 1857 506 722 481 998 1154 214 995 1917 1346 1219 1050 817 528 193 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1747.0,878 1320 1857 922 998 506 368 1313 1411 1154 171 995 817 1346 455 551 697 1952 1600 2020 875 13 1275 163 47 1178 584 1054 944 302 407 1867 347 1178 172 1953 1307 2020 721 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1904.0,878 1502 368 1346 42 242 1411 1801 1306 506 862 1230 249 953 2052 995 999 960 1945 33 817 817 1657 679 359 917 879 1887 1857 2056 1909 1247 1036 1952 2019 742 530 1427 1427 246 264 1534 591 1249 452 226 478 1946 308 1820 597 1065 1184 880 1411 770 1617 722 631 955 1745 381 249 163 289 878 1775 2020 -1 -1
1900.5,878 757 1857 234 368 787 801 506 998 1863 146 995 1910 960 697 817 1053 1475 1909 412 1707 281 302 2047 1713 1713 1896 1764 246 246 2014 226 947 1176 551 770 1857 1911 2063 1664 361 722 1312 1490 836 288 1834 350 825 1873 1112 2061 861 955 72 1725 1736 908 1530 812 129 1192 410 1859 392 0 -1 -1 -1 -1
1916.5,878 234 368 506 998 551 35 111 528 1502 1275 1850 1807 1764 1411 1664 218 560 1857 49 817 1572 1966 1475 722 481 1107 421 455 1053 1501 757 1725 1112 988 818 368 1178 988 988 374 995 288 1867 136 42 961 765 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
